,STORE NAME,STORE ADDRESS,WEBSITE,EMAIL,PHONE
25,BENNET,VIAVEROLENGO17-19/A-10149-TORINO(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,011210499
26,BENNET,VIARODOLFORENIER58INT.5-10141-TORINO(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,011331495
27,BENNET,VIAGIORDANOBRUNO142-10134-TORINO(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0113049146
28,BENNET,PIAZZACADUTISULLAVORO7-10036-SETTIMOTORINESE(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0118015368
29,BENNET,ViaScarrone10-10042-NICHELINO(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0116280136
30,BENNET,VIADORABALTEA31-10015-IVREA(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0125425511
31,BENNET,VIABATTITORE100-10073-CIRIE'(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0119202110
32,BENNET,VIACALUSO46-10034-CHIVASSO(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0119107014
33,BENNET,VIAGIUSEPPEROMANA40/42-10081-CASTELLAMONTE(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0124510471
34,BENNET,STRADATORINO23-10072-CASELLETORINESE(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0119961895
35,BENNET,VIASOMMARIVA29/1-2-10022-CARMAGNOLA(TO),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0119711170
36,BEP'S,S.S.26C/OPARCOCOMMERCIALECHIVASSO-10034-CHIVASSO(TO),WWW.BEPS.IT,NA,0119103898
37,BICANDIPIACENTINOROBERTO,VIANAZIONALE12-10010-MERCENASCO(TO),BICAN.IT,COMMERCIALE@BICAN.IT,0125565124
38,BICI&BICISASDIRACCADOMENICO,CORSOTORINON6/N-10051-AVIGLIANA(TO),NA,biciebiciavigliana@gmail.com,NA
39,BICISPORTDIVAIRAMARIO,VIAMOFFADILISIO12-10064-PINEROLO(TO),NA,INFO@BICISPORTVAIRA.IT,012175068
40,BICISPORTSRL,VIAMOFFADILISIO12-10064-PINEROLO(TO),NA,NEGOZIOPINEROLO@GMAIL.COM,012175068
41,BICISPORTSRL,CORSOMASSIMOD'AZEGLIO28-10015-IVREA(TO),WWW.BICISPORTIVREA.COM,INFO@BICISPORTIVREA.COM,012540348
42,BIKECENTER07SRL,CORSOFRANCIA100/A-10098-RIVOLI(TO),WWW.BIKE-CENTER.IT,BIKECENTER07@GMAIL.COM,0119592702
43,BIKEFIXER,ViaSanSebastiano47-10068-VILLAFRANCAPIEMONTE(TO),WWW.BIKEFIXER.IT,BIKEFIXERVILLA@GMAIL.COM,3392904664
44,BIKEIDDIRICCOBENESALVATOREANDREA,"VIADUCHESSAJOLANDA,7/C-10138-TORINO(TO)",WWW.BIKEIDENTITY.IT,INFO@BIKEIDENTITY.IT,0110206297
45,BIKELAB,STRADADELLAPRONDA39-10142-TORINO(TO),WWW.BIKELABTORINO.COM,BIKELABTORINO@GMAIL.COM,0112071376
46,BIKEPOINTPNZ,VIAFATEBENEFRATELLI-10077-SANMAURIZIOCANAVESE(TO),NA,NA,0119244380
47,BIKECAFE,CORSOTORINO180-10064-PINEROLO(TO),NA,NA,NA
48,BIKECOSRL,VIABOLOGNA220/93-10154-TORINO(TO),WWW.BIKECO.IT,INFO@BIKECO.IT,3482682880
49,BIKERS,CORSOGALILEOFERRARIS136-10034-CHIVASSO(TO),WWW.BIKERS-CHIVASSO.IT,BIKERS@CARSAM.IT,0110016920
50,BIKERSPOINTDICESARESTURLA,VIAMATILDESERAO14/A-10141-TORINO(TO),WWW-BIKERSPOINT-TORINO.IT,CESARE.STURLA@GMAIL.COM,3938790829
